pin,slack
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:A,15935
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:B,15844
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:C,10285
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:D,10348
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:Y,10285
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:A,17535
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:B,17510
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:C,13973
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:D,15041
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:Y,13973
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/NextCountPulse_0_sqmuxa_4_4:A,14154
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/NextCountPulse_0_sqmuxa_4_4:B,14152
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/NextCountPulse_0_sqmuxa_4_4:Y,14152
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:ADn,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:ALn,16179
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:CLK,8890
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:D,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:EN,12025
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:LAT,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:Q,8890
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:SD,
User_Interfaces_0/CoreGPIO_C0_0/CoreGPIO_C0_0/GEN_BITS_0_REG_GEN_CONFIG_regrff_1:SLn,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:ADn,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:ALn,16179
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:CLK,11309
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:D,17855
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:EN,13376
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:LAT,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:Q,11309
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:SD,
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/URF/cfg_ssel_xhdl0[3]:SLn,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/FF_25:CLK,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/FF_25:IPCLKn,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:A,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:B,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:C,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPA,
