pin,slack
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:A,9483
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:B,9234
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:C,14685
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:D,14565
User_Interfaces_0/CoreAPB3_C0_0/CoreAPB3_C0_0/u_mux_p_to_b3/PRDATA_0_iv_0[0]:Y,9234
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:A,11909
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:B,17487
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:C,13040
User_Interfaces_0/SD_IF_0/CORESPI_C1_0/CORESPI_C1_0/USPI/UCC/mtx_bitsel_RNO[0]:Y,11909
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/NextCountPulse_0_sqmuxa_4_4:A,14311
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/NextCountPulse_0_sqmuxa_4_4:B,14286
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/NextCountPulse_0_sqmuxa_4_4:Y,14286
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/FF_25:IPCLKn,
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load_RNIL5UJ71[30]:B,12338
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load_RNIL5UJ71[30]:C,17306
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load_RNIL5UJ71[30]:D,17052
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load_RNIL5UJ71[30]:FCI,11786
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load_RNIL5UJ71[30]:FCO,11786
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load_RNIL5UJ71[30]:S,11805
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_255:IPB,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:ALn,16528
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:CLK,18668
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:D,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/data_rx_q1:Q,18668
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_256:IPB,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:ALn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:CLK,78062
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:D,80321
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:EN,77165
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/paddr[4]:Q,78062
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_39:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_39:IPB,
m2s_creative_demo_0/ddr_mss_sb_0/ddr_mss_sb_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_133:IPA,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTll:A,14986
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTll:B,15088
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTOO1/CUARTll:Y,14986
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:ALn,
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:CLK,37178
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:D,35227
m2s_creative_demo_0/ddr_mss_sb_0/CORECONFIGP_0/state[1]:Q,37178
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/URXF/fifo_mem_q_fifo_mem_q_0_0/CFG_1:IPC,
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/mtx_lastframe_1_sqmuxa_0_a3_0_a2_0:A,15296
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/mtx_lastframe_1_sqmuxa_0_a3_0_a2_0:B,15260
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/mtx_lastframe_1_sqmuxa_0_a3_0_a2_0:C,12849
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/mtx_lastframe_1_sqmuxa_0_a3_0_a2_0:D,13940
User_Interfaces_0/spi_flash_0/CORESPI_C0_0/CORESPI_C0_0/USPI/UCC/mtx_lastframe_1_sqmuxa_0_a3_0_a2_0:Y,12849
m2s_creative_demo_0/ddr_mss_sb_0/CCC_0/CCC_INST/IP_INTERFACE_10:IPA,
m2s_creative_demo_0/ddr_mss_sb_0/CCC_0/CCC_INST/IP_INTERFACE_10:IPB,
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il_0_sqmuxa_0_a2:A,16260
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il_0_sqmuxa_0_a2:B,16202
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il_0_sqmuxa_0_a2:C,15946
User_Interfaces_0/CoreUARTapb_C0_0/CoreUARTapb_C0_0/CUARTlOlI/CUARTO01/CUARTl0Il_0_sqmuxa_0_a2:Y,15946
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:ALn,16561
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:CLK,16306
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:D,17281
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:EN,18478
m2s_creative_demo_0/ddr_mss_sb_0/CORERESETP_0/count_ddr[8]:Q,16306
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:ALn,16528
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:CLK,16874
User_Interfaces_0/CoreTimer_C0_0/CoreTimer_C0_0/Load[20]:D,17957
